curated_category_id,stock_image_id,product_type_id
128,35085,STOCK-IMAGE
128,35710,STOCK-IMAGE
128,35711,STOCK-IMAGE
128,35712,STOCK-IMAGE
128,35713,STOCK-IMAGE
128,38605,STOCK-IMAGE
128,38606,STOCK-IMAGE
128,38607,STOCK-IMAGE
128,38608,STOCK-IMAGE
128,38703,STOCK-IMAGE
128,38704,STOCK-IMAGE
128,38709,STOCK-IMAGE
128,38710,STOCK-IMAGE
128,38711,STOCK-IMAGE
128,38712,STOCK-IMAGE
128,50204,STOCK-IMAGE
128,50205,STOCK-IMAGE
128,57729,STOCK-IMAGE
128,57730,STOCK-IMAGE
128,166748,STOCK-IMAGE
128,166749,STOCK-IMAGE
128,166750,STOCK-IMAGE
128,166751,STOCK-IMAGE
128,166752,STOCK-IMAGE
128,120795,STOCK-IMAGE
128,120797,STOCK-IMAGE
128,120799,STOCK-IMAGE
128,120801,STOCK-IMAGE
128,120803,STOCK-IMAGE
128,137795,STOCK-IMAGE
128,137796,STOCK-IMAGE
128,137797,STOCK-IMAGE
128,137798,STOCK-IMAGE
128,137799,STOCK-IMAGE
128,137800,STOCK-IMAGE
128,137801,STOCK-IMAGE
128,137803,STOCK-IMAGE
128,154699,STOCK-IMAGE
128,154700,STOCK-IMAGE
128,154920,STOCK-IMAGE
128,154921,STOCK-IMAGE
128,154922,STOCK-IMAGE
128,154927,STOCK-IMAGE
128,154928,STOCK-IMAGE
128,155025,STOCK-IMAGE
128,155026,STOCK-IMAGE
128,155976,STOCK-IMAGE
128,155977,STOCK-IMAGE
128,155836,STOCK-IMAGE
128,155837,STOCK-IMAGE
128,155838,STOCK-IMAGE
128,155839,STOCK-IMAGE
128,155840,STOCK-IMAGE
128,164828,STOCK-IMAGE
128,164829,STOCK-IMAGE
128,164830,STOCK-IMAGE
128,164831,STOCK-IMAGE
128,164832,STOCK-IMAGE
128,164833,STOCK-IMAGE
128,164834,STOCK-IMAGE
128,164835,STOCK-IMAGE
128,164836,STOCK-IMAGE
128,195887,STOCK-IMAGE
128,183311,STOCK-IMAGE
128,183312,STOCK-IMAGE
128,183313,STOCK-IMAGE
128,183314,STOCK-IMAGE
128,196395,STOCK-IMAGE
128,196396,STOCK-IMAGE
128,196397,STOCK-IMAGE
128,196398,STOCK-IMAGE
128,196399,STOCK-IMAGE
128,209827,STOCK-IMAGE
128,209828,STOCK-IMAGE
128,209829,STOCK-IMAGE
128,209830,STOCK-IMAGE
128,209831,STOCK-IMAGE
128,209832,STOCK-IMAGE
128,209833,STOCK-IMAGE
128,209834,STOCK-IMAGE
128,209841,STOCK-IMAGE
128,209842,STOCK-IMAGE
128,209843,STOCK-IMAGE
128,209844,STOCK-IMAGE
128,214989,STOCK-IMAGE
128,214990,STOCK-IMAGE
128,215394,STOCK-IMAGE
128,215395,STOCK-IMAGE
128,74857,STOCK-IMAGE
128,74858,STOCK-IMAGE
128,74859,STOCK-IMAGE
128,74860,STOCK-IMAGE
128,76425,STOCK-IMAGE
128,76426,STOCK-IMAGE
128,76949,STOCK-IMAGE
128,76950,STOCK-IMAGE
128,76951,STOCK-IMAGE
128,121085,STOCK-IMAGE
128,121086,STOCK-IMAGE
128,121087,STOCK-IMAGE
128,121088,STOCK-IMAGE
128,83835,STOCK-IMAGE
128,83836,STOCK-IMAGE
128,84341,STOCK-IMAGE
128,84342,STOCK-IMAGE
128,84426,STOCK-IMAGE
128,84427,STOCK-IMAGE
128,84428,STOCK-IMAGE
128,84429,STOCK-IMAGE
128,84552,STOCK-IMAGE
128,84553,STOCK-IMAGE
128,84580,STOCK-IMAGE
128,84581,STOCK-IMAGE
128,98595,STOCK-IMAGE
128,98596,STOCK-IMAGE
128,98632,STOCK-IMAGE
128,98633,STOCK-IMAGE
128,98749,STOCK-IMAGE
128,98750,STOCK-IMAGE
128,121648,STOCK-IMAGE
128,121649,STOCK-IMAGE
128,121650,STOCK-IMAGE
128,121651,STOCK-IMAGE
128,121652,STOCK-IMAGE
128,121653,STOCK-IMAGE
128,81086,STOCK-IMAGE
128,81087,STOCK-IMAGE
128,81088,STOCK-IMAGE
128,81089,STOCK-IMAGE
128,81090,STOCK-IMAGE
128,81091,STOCK-IMAGE
128,141279,STOCK-IMAGE
128,141280,STOCK-IMAGE
128,141281,STOCK-IMAGE
128,141282,STOCK-IMAGE
128,141283,STOCK-IMAGE
128,141284,STOCK-IMAGE
128,141285,STOCK-IMAGE
128,141286,STOCK-IMAGE
128,141287,STOCK-IMAGE
128,141288,STOCK-IMAGE
128,141289,STOCK-IMAGE
128,141290,STOCK-IMAGE
128,141291,STOCK-IMAGE
128,141292,STOCK-IMAGE
128,141293,STOCK-IMAGE
128,141294,STOCK-IMAGE
128,171761,STOCK-IMAGE
128,171762,STOCK-IMAGE
128,171763,STOCK-IMAGE
128,171764,STOCK-IMAGE
128,171782,STOCK-IMAGE
128,226183,STOCK-IMAGE
128,105667,STOCK-IMAGE
128,105668,STOCK-IMAGE
128,105669,STOCK-IMAGE
128,249448,STOCK-IMAGE
128,140453,STOCK-IMAGE
128,140454,STOCK-IMAGE
128,140458,STOCK-IMAGE
128,140459,STOCK-IMAGE
128,284212,STOCK-IMAGE
128,284213,STOCK-IMAGE
128,284215,STOCK-IMAGE
128,305088,STOCK-IMAGE
128,305093,STOCK-IMAGE
128,240242,STOCK-IMAGE
128,174628,STOCK-IMAGE
128,174629,STOCK-IMAGE
128,220673,STOCK-IMAGE
128,212092,STOCK-IMAGE
128,240244,STOCK-IMAGE
128,240245,STOCK-IMAGE
128,275910,STOCK-IMAGE
128,240240,STOCK-IMAGE
128,240241,STOCK-IMAGE
128,220775,STOCK-IMAGE
128,170310,STOCK-IMAGE
128,170311,STOCK-IMAGE
128,171578,STOCK-IMAGE
128,234017,STOCK-IMAGE
128,234250,STOCK-IMAGE
128,258160,STOCK-IMAGE
128,258161,STOCK-IMAGE
128,144215,STOCK-IMAGE
128,144216,STOCK-IMAGE
129,145460,STOCK-IMAGE
129,86167,STOCK-IMAGE
129,86168,STOCK-IMAGE
129,86169,STOCK-IMAGE
129,86170,STOCK-IMAGE
129,86171,STOCK-IMAGE
129,86174,STOCK-IMAGE
129,193759,STOCK-IMAGE
129,193760,STOCK-IMAGE
129,31434,STOCK-IMAGE
129,31436,STOCK-IMAGE
129,31438,STOCK-IMAGE
