curated_category_id,product_id,product_type
15,133981,STOCK-IMAGE
15,131524,STOCK-IMAGE
15,133871,STOCK-IMAGE
15,127041,STOCK-IMAGE
15,133854,STOCK-IMAGE
15,131507,STOCK-IMAGE
15,131509,STOCK-IMAGE
15,127552,STOCK-IMAGE
15,127553,STOCK-IMAGE
15,131404,STOCK-IMAGE
15,132789,STOCK-IMAGE
15,127322,STOCK-IMAGE
15,135155,STOCK-IMAGE
15,276018,STOCK-IMAGE
15,158341,STOCK-IMAGE
15,158361,STOCK-IMAGE
15,246831,STOCK-IMAGE
15,246835,STOCK-IMAGE
15,246848,STOCK-IMAGE
15,270248,STOCK-IMAGE
15,321473,STOCK-IMAGE
15,260990,STOCK-IMAGE
15,316268,STOCK-IMAGE
15,317917,STOCK-IMAGE
16,13942,STOCK-IMAGE
16,14147,STOCK-IMAGE
16,14148,STOCK-IMAGE
16,222897,STOCK-IMAGE
16,200130,STOCK-IMAGE
16,207844,STOCK-IMAGE
16,207845,STOCK-IMAGE
16,331292,STOCK-IMAGE
16,173772,STOCK-IMAGE
16,138451,STOCK-IMAGE
16,138486,STOCK-IMAGE
16,158566,STOCK-IMAGE
16,224040,STOCK-IMAGE
16,331935,STOCK-IMAGE
16,224581,STOCK-IMAGE
16,224582,STOCK-IMAGE
16,241993,STOCK-IMAGE
16,139162,STOCK-IMAGE
16,224671,STOCK-IMAGE
16,208087,STOCK-IMAGE
16,208091,STOCK-IMAGE
16,332381,STOCK-IMAGE
16,158569,STOCK-IMAGE
16,201132,STOCK-IMAGE
16,307354,STOCK-IMAGE
16,325536,STOCK-IMAGE
16,307373,STOCK-IMAGE
16,13064,STOCK-IMAGE
16,11665,STOCK-IMAGE
16,13065,STOCK-IMAGE
16,11666,STOCK-IMAGE
16,12999,STOCK-IMAGE
16,13000,STOCK-IMAGE
16,11736,STOCK-IMAGE
16,220049,STOCK-IMAGE
16,220050,STOCK-IMAGE
16,80582,STOCK-IMAGE
16,126643,STOCK-IMAGE
16,140114,STOCK-IMAGE
16,140116,STOCK-IMAGE
16,207021,STOCK-IMAGE
16,129419,STOCK-IMAGE
16,219896,STOCK-IMAGE
16,198540,STOCK-IMAGE
16,220415,STOCK-IMAGE
16,220416,STOCK-IMAGE
16,201859,STOCK-IMAGE
16,201860,STOCK-IMAGE
16,283053,STOCK-IMAGE
16,247017,STOCK-IMAGE
16,247028,STOCK-IMAGE
16,247029,STOCK-IMAGE
16,247030,STOCK-IMAGE
16,247031,STOCK-IMAGE
16,239984,STOCK-IMAGE
16,239985,STOCK-IMAGE
16,166221,STOCK-IMAGE
16,28880,STOCK-IMAGE
16,28881,STOCK-IMAGE
16,28882,STOCK-IMAGE
16,196037,STOCK-IMAGE
16,196038,STOCK-IMAGE
16,196039,STOCK-IMAGE
16,83749,STOCK-IMAGE
16,202336,STOCK-IMAGE
16,202337,STOCK-IMAGE
16,202338,STOCK-IMAGE
16,202339,STOCK-IMAGE
16,104656,STOCK-IMAGE
16,104657,STOCK-IMAGE
16,104658,STOCK-IMAGE
16,41869,STOCK-IMAGE
16,41870,STOCK-IMAGE
16,46128,STOCK-IMAGE
16,46129,STOCK-IMAGE
16,46132,STOCK-IMAGE
16,46133,STOCK-IMAGE
16,46134,STOCK-IMAGE
16,46141,STOCK-IMAGE
16,46142,STOCK-IMAGE
16,41889,STOCK-IMAGE
16,41890,STOCK-IMAGE
16,41891,STOCK-IMAGE
16,41892,STOCK-IMAGE
16,41919,STOCK-IMAGE
16,41920,STOCK-IMAGE
16,41921,STOCK-IMAGE
16,66657,STOCK-IMAGE
16,66658,STOCK-IMAGE
16,104885,STOCK-IMAGE
16,104886,STOCK-IMAGE
16,191416,STOCK-IMAGE
16,191417,STOCK-IMAGE
16,191418,STOCK-IMAGE
16,191419,STOCK-IMAGE
16,191420,STOCK-IMAGE
16,303392,STOCK-IMAGE
16,303393,STOCK-IMAGE
16,303395,STOCK-IMAGE
16,162836,STOCK-IMAGE
16,162837,STOCK-IMAGE
16,42907,STOCK-IMAGE
16,162840,STOCK-IMAGE
16,162899,STOCK-IMAGE
16,167343,STOCK-IMAGE
16,167344,STOCK-IMAGE
16,218511,STOCK-IMAGE
16,162736,STOCK-IMAGE
16,43471,STOCK-IMAGE
16,244270,STOCK-IMAGE
16,244271,STOCK-IMAGE
16,59587,STOCK-IMAGE
16,59588,STOCK-IMAGE
16,84965,STOCK-IMAGE
16,166383,STOCK-IMAGE
16,166382,STOCK-IMAGE
16,58796,STOCK-IMAGE
16,249468,STOCK-IMAGE
16,249469,STOCK-IMAGE
16,249471,STOCK-IMAGE
16,249381,STOCK-IMAGE
16,249382,STOCK-IMAGE
16,167215,STOCK-IMAGE
16,213426,STOCK-IMAGE
16,213427,STOCK-IMAGE
16,51257,STOCK-IMAGE
16,136920,STOCK-IMAGE
16,17585,STOCK-IMAGE
16,167616,STOCK-IMAGE
16,167618,STOCK-IMAGE
16,167619,STOCK-IMAGE
16,33732,STOCK-IMAGE
16,33733,STOCK-IMAGE
16,33734,STOCK-IMAGE
16,123231,STOCK-IMAGE
16,33745,STOCK-IMAGE
16,167660,STOCK-IMAGE
16,123284,STOCK-IMAGE
16,123286,STOCK-IMAGE
16,137327,STOCK-IMAGE
16,85529,STOCK-IMAGE
16,85530,STOCK-IMAGE
16,85531,STOCK-IMAGE
16,85532,STOCK-IMAGE
16,91481,STOCK-IMAGE
16,91736,STOCK-IMAGE
16,187421,STOCK-IMAGE
16,187422,STOCK-IMAGE
16,268453,STOCK-IMAGE
16,272944,STOCK-IMAGE
16,136698,STOCK-IMAGE
16,136665,STOCK-IMAGE
16,128000,STOCK-IMAGE
16,134167,STOCK-IMAGE
16,134596,STOCK-IMAGE
16,134334,STOCK-IMAGE
16,134354,STOCK-IMAGE
16,134356,STOCK-IMAGE
16,134331,STOCK-IMAGE
16,212026,STOCK-IMAGE
16,212027,STOCK-IMAGE
16,276056,STOCK-IMAGE
16,276058,STOCK-IMAGE
16,231975,STOCK-IMAGE
16,231976,STOCK-IMAGE
16,314975,STOCK-IMAGE
16,314976,STOCK-IMAGE
16,314977,STOCK-IMAGE
16,317964,STOCK-IMAGE
16,317965,STOCK-IMAGE
16,13941,STOCK-IMAGE
17,198990,STOCK-IMAGE
17,218700,STOCK-IMAGE
17,211743,STOCK-IMAGE
17,211744,STOCK-IMAGE
17,211745,STOCK-IMAGE
17,211746,STOCK-IMAGE
17,32317,STOCK-IMAGE
17,32321,STOCK-IMAGE
17,32322,STOCK-IMAGE
17,32323,STOCK-IMAGE
17,32324,STOCK-IMAGE
17,32325,STOCK-IMAGE
17,32326,STOCK-IMAGE
17,32327,STOCK-IMAGE
17,32328,STOCK-IMAGE
17,32329,STOCK-IMAGE
17,32330,STOCK-IMAGE
17,48102,STOCK-IMAGE
17,48104,STOCK-IMAGE
17,48105,STOCK-IMAGE
17,48106,STOCK-IMAGE
17,48107,STOCK-IMAGE
17,48109,STOCK-IMAGE
17,48112,STOCK-IMAGE
17,56187,STOCK-IMAGE
17,56202,STOCK-IMAGE
17,56193,STOCK-IMAGE
17,56203,STOCK-IMAGE
17,56199,STOCK-IMAGE
17,56200,STOCK-IMAGE
17,104508,STOCK-IMAGE
17,104509,STOCK-IMAGE
17,104526,STOCK-IMAGE
17,104527,STOCK-IMAGE
17,165932,STOCK-IMAGE
17,165933,STOCK-IMAGE
17,165934,STOCK-IMAGE
17,165936,STOCK-IMAGE
17,165943,STOCK-IMAGE
17,171413,STOCK-IMAGE
17,19394,STOCK-IMAGE
17,19395,STOCK-IMAGE
17,204511,STOCK-IMAGE
17,204512,STOCK-IMAGE
17,204516,STOCK-IMAGE
17,204513,STOCK-IMAGE
17,204514,STOCK-IMAGE
17,211170,STOCK-IMAGE
17,225996,STOCK-IMAGE
17,225995,STOCK-IMAGE
17,226005,STOCK-IMAGE
17,225994,STOCK-IMAGE
17,140045,STOCK-IMAGE
17,140047,STOCK-IMAGE
17,140046,STOCK-IMAGE
17,218715,STOCK-IMAGE
17,218718,STOCK-IMAGE
17,218719,STOCK-IMAGE
17,218722,STOCK-IMAGE
17,218723,STOCK-IMAGE
17,218725,STOCK-IMAGE
17,218729,STOCK-IMAGE
