curated_category_id,stock_image_id,product_type_id
125,303432,STOCK-IMAGE
125,260871,STOCK-IMAGE
125,260872,STOCK-IMAGE
125,282795,STOCK-IMAGE
125,282796,STOCK-IMAGE
125,282797,STOCK-IMAGE
125,282798,STOCK-IMAGE
125,336637,STOCK-IMAGE
125,336638,STOCK-IMAGE
125,257136,STOCK-IMAGE
125,281990,STOCK-IMAGE
126,234317,STOCK-IMAGE
126,234318,STOCK-IMAGE
126,234319,STOCK-IMAGE
126,234323,STOCK-IMAGE
126,234324,STOCK-IMAGE
126,234325,STOCK-IMAGE
126,234326,STOCK-IMAGE
126,263587,STOCK-IMAGE
126,263590,STOCK-IMAGE
126,263592,STOCK-IMAGE
126,281514,STOCK-IMAGE
126,281515,STOCK-IMAGE
126,281530,STOCK-IMAGE
126,244259,STOCK-IMAGE
126,119509,STOCK-IMAGE
126,119510,STOCK-IMAGE
126,166710,STOCK-IMAGE
126,260944,STOCK-IMAGE
126,166709,STOCK-IMAGE
126,260943,STOCK-IMAGE
126,260948,STOCK-IMAGE
126,260947,STOCK-IMAGE
126,11228,STOCK-IMAGE
126,193052,STOCK-IMAGE
126,193053,STOCK-IMAGE
126,193054,STOCK-IMAGE
126,193055,STOCK-IMAGE
126,239726,STOCK-IMAGE
126,239727,STOCK-IMAGE
126,257777,STOCK-IMAGE
126,257778,STOCK-IMAGE
126,247099,STOCK-IMAGE
126,247409,STOCK-IMAGE
126,247410,STOCK-IMAGE
126,237851,STOCK-IMAGE
126,38743,STOCK-IMAGE
126,38744,STOCK-IMAGE
126,155389,STOCK-IMAGE
126,155390,STOCK-IMAGE
126,155976,STOCK-IMAGE
126,155977,STOCK-IMAGE
126,155269,STOCK-IMAGE
126,155270,STOCK-IMAGE
126,164809,STOCK-IMAGE
126,164810,STOCK-IMAGE
126,165157,STOCK-IMAGE
126,165158,STOCK-IMAGE
126,165159,STOCK-IMAGE
126,165160,STOCK-IMAGE
126,165161,STOCK-IMAGE
126,165162,STOCK-IMAGE
126,165163,STOCK-IMAGE
126,165164,STOCK-IMAGE
126,165165,STOCK-IMAGE
126,165516,STOCK-IMAGE
126,165517,STOCK-IMAGE
126,163274,STOCK-IMAGE
126,163275,STOCK-IMAGE
126,165814,STOCK-IMAGE
126,165815,STOCK-IMAGE
126,183311,STOCK-IMAGE
126,183312,STOCK-IMAGE
126,260268,STOCK-IMAGE
126,260269,STOCK-IMAGE
126,260270,STOCK-IMAGE
126,260271,STOCK-IMAGE
126,196395,STOCK-IMAGE
126,196396,STOCK-IMAGE
126,196397,STOCK-IMAGE
126,196398,STOCK-IMAGE
126,196399,STOCK-IMAGE
126,194817,STOCK-IMAGE
126,194818,STOCK-IMAGE
126,193688,STOCK-IMAGE
126,193689,STOCK-IMAGE
126,209305,STOCK-IMAGE
126,209306,STOCK-IMAGE
126,339450,STOCK-IMAGE
126,339451,STOCK-IMAGE
126,339452,STOCK-IMAGE
126,339454,STOCK-IMAGE
126,228526,STOCK-IMAGE
126,228527,STOCK-IMAGE
126,228528,STOCK-IMAGE
126,228529,STOCK-IMAGE
126,228729,STOCK-IMAGE
126,228730,STOCK-IMAGE
126,229626,STOCK-IMAGE
126,229627,STOCK-IMAGE
126,230276,STOCK-IMAGE
126,230277,STOCK-IMAGE
126,227246,STOCK-IMAGE
126,227247,STOCK-IMAGE
126,230703,STOCK-IMAGE
126,230704,STOCK-IMAGE
126,230735,STOCK-IMAGE
126,230736,STOCK-IMAGE
126,230860,STOCK-IMAGE
126,230896,STOCK-IMAGE
126,230900,STOCK-IMAGE
126,230901,STOCK-IMAGE
126,255533,STOCK-IMAGE
126,255534,STOCK-IMAGE
126,258503,STOCK-IMAGE
126,258504,STOCK-IMAGE
126,258505,STOCK-IMAGE
126,258626,STOCK-IMAGE
126,258627,STOCK-IMAGE
126,258628,STOCK-IMAGE
126,258629,STOCK-IMAGE
126,258752,STOCK-IMAGE
126,258753,STOCK-IMAGE
126,274478,STOCK-IMAGE
126,274479,STOCK-IMAGE
126,274785,STOCK-IMAGE
126,274786,STOCK-IMAGE
126,270934,STOCK-IMAGE
126,270935,STOCK-IMAGE
126,77377,STOCK-IMAGE
126,77378,STOCK-IMAGE
126,312284,STOCK-IMAGE
126,312285,STOCK-IMAGE
126,313701,STOCK-IMAGE
126,313702,STOCK-IMAGE
126,313735,STOCK-IMAGE
