curated_category_id,stock_image_id,product_type_id
121,80709,STOCK-IMAGE
121,80710,STOCK-IMAGE
121,175051,STOCK-IMAGE
121,221308,STOCK-IMAGE
121,220588,STOCK-IMAGE
121,261953,STOCK-IMAGE
121,265191,STOCK-IMAGE
121,265190,STOCK-IMAGE
121,281881,STOCK-IMAGE
121,281880,STOCK-IMAGE
121,281878,STOCK-IMAGE
121,165950,STOCK-IMAGE
121,165951,STOCK-IMAGE
121,165972,STOCK-IMAGE
121,234548,STOCK-IMAGE
121,234549,STOCK-IMAGE
121,234552,STOCK-IMAGE
121,234553,STOCK-IMAGE
121,239622,STOCK-IMAGE
121,239623,STOCK-IMAGE
121,270391,STOCK-IMAGE
121,270392,STOCK-IMAGE
121,226788,STOCK-IMAGE
121,226789,STOCK-IMAGE
121,231228,STOCK-IMAGE
121,231229,STOCK-IMAGE
121,254781,STOCK-IMAGE
121,254782,STOCK-IMAGE
121,252610,STOCK-IMAGE
121,237025,STOCK-IMAGE
121,237026,STOCK-IMAGE
121,237073,STOCK-IMAGE
121,237074,STOCK-IMAGE
121,237075,STOCK-IMAGE
121,237076,STOCK-IMAGE
121,237144,STOCK-IMAGE
121,237145,STOCK-IMAGE
121,237151,STOCK-IMAGE
121,237212,STOCK-IMAGE
121,237213,STOCK-IMAGE
121,237214,STOCK-IMAGE
121,237217,STOCK-IMAGE
121,237218,STOCK-IMAGE
121,237849,STOCK-IMAGE
121,237850,STOCK-IMAGE
121,237851,STOCK-IMAGE
121,237852,STOCK-IMAGE
121,156088,STOCK-IMAGE
121,156089,STOCK-IMAGE
121,238981,STOCK-IMAGE
121,221305,STOCK-IMAGE
121,167053,STOCK-IMAGE
121,167054,STOCK-IMAGE
121,231524,STOCK-IMAGE
121,227323,STOCK-IMAGE
121,227324,STOCK-IMAGE
121,232244,STOCK-IMAGE
121,232243,STOCK-IMAGE
121,234352,STOCK-IMAGE
121,234353,STOCK-IMAGE
121,239329,STOCK-IMAGE
121,239330,STOCK-IMAGE
121,232245,STOCK-IMAGE
121,232246,STOCK-IMAGE
121,147722,STOCK-IMAGE
121,147723,STOCK-IMAGE
121,155573,STOCK-IMAGE
121,155574,STOCK-IMAGE
121,155981,STOCK-IMAGE
121,155579,STOCK-IMAGE
121,155580,STOCK-IMAGE
121,165050,STOCK-IMAGE
121,165051,STOCK-IMAGE
121,195887,STOCK-IMAGE
121,226506,STOCK-IMAGE
121,165210,STOCK-IMAGE
121,226507,STOCK-IMAGE
121,165211,STOCK-IMAGE
121,165221,STOCK-IMAGE
121,165222,STOCK-IMAGE
121,165362,STOCK-IMAGE
121,165720,STOCK-IMAGE
121,165721,STOCK-IMAGE
121,183351,STOCK-IMAGE
121,183352,STOCK-IMAGE
121,183569,STOCK-IMAGE
121,183570,STOCK-IMAGE
121,214629,STOCK-IMAGE
121,215429,STOCK-IMAGE
121,215430,STOCK-IMAGE
121,228284,STOCK-IMAGE
121,228285,STOCK-IMAGE
121,228669,STOCK-IMAGE
121,244076,STOCK-IMAGE
121,228670,STOCK-IMAGE
121,244077,STOCK-IMAGE
121,226541,STOCK-IMAGE
