"SKU","Name","ArteVenue Category","Price(Excluding tax)","Tax(in amt)","Length","Width","Quantity","Description","Image URL","Additional Information","Image Thumbnail URL"
"5231","Landscape with a Churche","Landscape","1700.00","182.00","22.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 17; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 22.00; Acrylic covered; ",""
"5232","Winter Landscape","Landscape","480.00","51.00","14.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 8; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 14.00; Acrylic covered; ",""
"5233","The Lake","Landscape","1640.00","176.00","21.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 16; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 21.00; Acrylic covered; ",""
"5234","The Way","Landscape","510.00","55.00","15.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 9; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 15.00; Acrylic covered; ",""
"5235","Waterfall I","Floral","2410.00","258.00","33.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 28; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 33.00; Acrylic covered; ",""
"5236","Waterfall II","Floral","690.00","74.00","20.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 14; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 20.00; Acrylic covered; ",""
"5237","Autumn Wood I","Landscape","1700.00","182.00","22.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 17; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 22.00; Acrylic covered; ",""
"5238","Autumn Wood II","Landscape","510.00","55.00","15.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 9; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 15.00; Acrylic covered; ",""
"5239","Creek with Birches","Landscape","1640.00","176.00","21.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 16; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 21.00; Acrylic covered; ",""
"5240","Creek in Mountains with Wooden Bridge","Landscape","480.00","51.00","14.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 8; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 14.00; Acrylic covered; ",""
