curated_category_id,product_id,product_type
101,39078,STOCK-IMAGE
101,50146,STOCK-IMAGE
101,148035,STOCK-IMAGE
101,148036,STOCK-IMAGE
101,148037,STOCK-IMAGE
101,148038,STOCK-IMAGE
101,148184,STOCK-IMAGE
101,148185,STOCK-IMAGE
101,50837,STOCK-IMAGE
101,196374,STOCK-IMAGE
101,196375,STOCK-IMAGE
101,209861,STOCK-IMAGE
101,209862,STOCK-IMAGE
101,244825,STOCK-IMAGE
101,244826,STOCK-IMAGE
101,76657,STOCK-IMAGE
101,76658,STOCK-IMAGE
101,312563,STOCK-IMAGE
101,312564,STOCK-IMAGE
101,301549,STOCK-IMAGE
101,66600,STOCK-IMAGE
101,41816,STOCK-IMAGE
101,41817,STOCK-IMAGE
101,141183,STOCK-IMAGE
101,191665,STOCK-IMAGE
101,303677,STOCK-IMAGE
101,303678,STOCK-IMAGE
101,191703,STOCK-IMAGE
101,169587,STOCK-IMAGE
101,157307,STOCK-IMAGE
101,167317,STOCK-IMAGE
101,167318,STOCK-IMAGE
101,249317,STOCK-IMAGE
101,44333,STOCK-IMAGE
101,44334,STOCK-IMAGE
101,58021,STOCK-IMAGE
101,58022,STOCK-IMAGE
101,58072,STOCK-IMAGE
101,59084,STOCK-IMAGE
101,59085,STOCK-IMAGE
101,58168,STOCK-IMAGE
101,58204,STOCK-IMAGE
101,58221,STOCK-IMAGE
101,58231,STOCK-IMAGE
101,58255,STOCK-IMAGE
101,58256,STOCK-IMAGE
101,58299,STOCK-IMAGE
101,58678,STOCK-IMAGE
101,58745,STOCK-IMAGE
101,58875,STOCK-IMAGE
101,23694,STOCK-IMAGE
101,23851,STOCK-IMAGE
101,15374,STOCK-IMAGE
101,248189,STOCK-IMAGE
101,21867,STOCK-IMAGE
101,90129,STOCK-IMAGE
101,92618,STOCK-IMAGE
101,92650,STOCK-IMAGE
101,92773,STOCK-IMAGE
101,249204,STOCK-IMAGE
101,244581,STOCK-IMAGE
101,132933,STOCK-IMAGE
101,212164,STOCK-IMAGE
101,212165,STOCK-IMAGE
101,240297,STOCK-IMAGE
101,240298,STOCK-IMAGE
101,263248,STOCK-IMAGE
101,263249,STOCK-IMAGE
101,263264,STOCK-IMAGE
101,158279,STOCK-IMAGE
101,248281,STOCK-IMAGE
101,251962,STOCK-IMAGE
101,251963,STOCK-IMAGE
101,251909,STOCK-IMAGE
101,254972,STOCK-IMAGE
101,255868,STOCK-IMAGE
101,260958,STOCK-IMAGE
101,260960,STOCK-IMAGE
101,315399,STOCK-IMAGE
101,315400,STOCK-IMAGE
101,143311,STOCK-IMAGE
101,143774,STOCK-IMAGE
101,143775,STOCK-IMAGE
101,87978,STOCK-IMAGE
101,143776,STOCK-IMAGE
101,219183,STOCK-IMAGE
101,219184,STOCK-IMAGE
101,5519,STOCK-IMAGE
101,5520,STOCK-IMAGE
101,219681,STOCK-IMAGE
101,6150,STOCK-IMAGE
101,145094,STOCK-IMAGE
101,145095,STOCK-IMAGE
101,29174,STOCK-IMAGE
101,20177,STOCK-IMAGE
101,20178,STOCK-IMAGE
101,29603,STOCK-IMAGE
102,223665,STOCK-IMAGE
102,241337,STOCK-IMAGE
102,241338,STOCK-IMAGE
102,277361,STOCK-IMAGE
102,34256,STOCK-IMAGE
102,12923,STOCK-IMAGE
102,12034,STOCK-IMAGE
102,12035,STOCK-IMAGE
102,13186,STOCK-IMAGE
102,36094,STOCK-IMAGE
102,36095,STOCK-IMAGE
102,66138,STOCK-IMAGE
102,66202,STOCK-IMAGE
102,66161,STOCK-IMAGE
102,66203,STOCK-IMAGE
102,15091,STOCK-IMAGE
102,15087,STOCK-IMAGE
102,32513,STOCK-IMAGE
102,15537,STOCK-IMAGE
102,12819,STOCK-IMAGE
102,15538,STOCK-IMAGE
102,23603,STOCK-IMAGE
102,15554,STOCK-IMAGE
102,15555,STOCK-IMAGE
102,15564,STOCK-IMAGE
102,15565,STOCK-IMAGE
102,33951,STOCK-IMAGE
102,21209,STOCK-IMAGE
102,21210,STOCK-IMAGE
102,10217,STOCK-IMAGE
102,10218,STOCK-IMAGE
102,159476,STOCK-IMAGE
102,153148,STOCK-IMAGE
102,93462,STOCK-IMAGE
102,93463,STOCK-IMAGE
102,93464,STOCK-IMAGE
102,153083,STOCK-IMAGE
102,149173,STOCK-IMAGE
102,153077,STOCK-IMAGE
102,153078,STOCK-IMAGE
102,208679,STOCK-IMAGE
102,239984,STOCK-IMAGE
102,247148,STOCK-IMAGE
102,148900,STOCK-IMAGE
102,148901,STOCK-IMAGE
102,148902,STOCK-IMAGE
102,148903,STOCK-IMAGE
102,148904,STOCK-IMAGE
102,148905,STOCK-IMAGE
102,148906,STOCK-IMAGE
102,238521,STOCK-IMAGE
102,155680,STOCK-IMAGE
102,155681,STOCK-IMAGE
102,183300,STOCK-IMAGE
102,183301,STOCK-IMAGE
102,183302,STOCK-IMAGE
102,183419,STOCK-IMAGE
102,183420,STOCK-IMAGE
102,183421,STOCK-IMAGE
102,183422,STOCK-IMAGE
102,183423,STOCK-IMAGE
102,183424,STOCK-IMAGE
102,196552,STOCK-IMAGE
102,196553,STOCK-IMAGE
102,302448,STOCK-IMAGE
102,302449,STOCK-IMAGE
102,302450,STOCK-IMAGE
102,302451,STOCK-IMAGE
102,333248,STOCK-IMAGE
102,333249,STOCK-IMAGE
102,279686,STOCK-IMAGE
102,168103,STOCK-IMAGE
102,168102,STOCK-IMAGE
102,168101,STOCK-IMAGE
102,62253,STOCK-IMAGE
102,193564,STOCK-IMAGE
102,193565,STOCK-IMAGE
102,193493,STOCK-IMAGE
102,193494,STOCK-IMAGE
102,311979,STOCK-IMAGE
102,64991,STOCK-IMAGE
102,193568,STOCK-IMAGE
102,189739,STOCK-IMAGE
102,189740,STOCK-IMAGE
102,197532,STOCK-IMAGE
102,197533,STOCK-IMAGE
102,270470,STOCK-IMAGE
102,270471,STOCK-IMAGE
102,84938,STOCK-IMAGE
102,167616,STOCK-IMAGE
102,248205,STOCK-IMAGE
102,137265,STOCK-IMAGE
102,90144,STOCK-IMAGE
102,96008,STOCK-IMAGE
102,283122,STOCK-IMAGE
102,283123,STOCK-IMAGE
102,211959,STOCK-IMAGE
102,174776,STOCK-IMAGE
102,174777,STOCK-IMAGE
102,174780,STOCK-IMAGE
102,174781,STOCK-IMAGE
102,194045,STOCK-IMAGE
102,194046,STOCK-IMAGE
102,231946,STOCK-IMAGE
102,276060,STOCK-IMAGE
102,311325,STOCK-IMAGE
