curated_category_id	product_id	product_type_id
1	188014	STOCK-IMAGE
1	188020	STOCK-IMAGE
1	188027	STOCK-IMAGE
1	188032	STOCK-IMAGE
1	188036	STOCK-IMAGE
1	188039	STOCK-IMAGE
1	188043	STOCK-IMAGE
1	188046	STOCK-IMAGE
1	188047	STOCK-IMAGE
1	188107	STOCK-IMAGE
1	188109	STOCK-IMAGE
1	188128	STOCK-IMAGE
1	188129	STOCK-IMAGE
1	188154	STOCK-IMAGE
1	188161	STOCK-IMAGE
1	188163	STOCK-IMAGE
1	188179	STOCK-IMAGE
1	188189	STOCK-IMAGE
1	188190	STOCK-IMAGE
1	188192	STOCK-IMAGE
1	188193	STOCK-IMAGE
1	188194	STOCK-IMAGE
1	188195	STOCK-IMAGE
1	188200	STOCK-IMAGE
1	188201	STOCK-IMAGE
1	188219	STOCK-IMAGE
1	188221	STOCK-IMAGE
1	188233	STOCK-IMAGE
1	188242	STOCK-IMAGE
1	188243	STOCK-IMAGE
1	188244	STOCK-IMAGE
1	188259	STOCK-IMAGE
1	188264	STOCK-IMAGE
1	188273	STOCK-IMAGE
1	188293	STOCK-IMAGE
1	188294	STOCK-IMAGE
1	188311	STOCK-IMAGE
1	188338	STOCK-IMAGE
1	188456	STOCK-IMAGE
1	188457	STOCK-IMAGE
1	188458	STOCK-IMAGE
1	188459	STOCK-IMAGE
1	188461	STOCK-IMAGE
1	188462	STOCK-IMAGE
1	211257	STOCK-IMAGE
1	188807	STOCK-IMAGE
1	188808	STOCK-IMAGE
1	188821	STOCK-IMAGE
1	188822	STOCK-IMAGE
1	188823	STOCK-IMAGE
1	188824	STOCK-IMAGE
1	188836	STOCK-IMAGE
1	188837	STOCK-IMAGE
1	188838	STOCK-IMAGE
1	188964	STOCK-IMAGE
1	188973	STOCK-IMAGE
1	188974	STOCK-IMAGE
1	188980	STOCK-IMAGE
1	188984	STOCK-IMAGE
1	188985	STOCK-IMAGE
1	188991	STOCK-IMAGE
1	188993	STOCK-IMAGE
1	188996	STOCK-IMAGE
1	188999	STOCK-IMAGE
1	189008	STOCK-IMAGE
1	189009	STOCK-IMAGE
1	189010	STOCK-IMAGE
1	189011	STOCK-IMAGE
1	189027	STOCK-IMAGE
1	189029	STOCK-IMAGE
1	189030	STOCK-IMAGE
1	189060	STOCK-IMAGE
1	189061	STOCK-IMAGE
1	189062	STOCK-IMAGE
1	189063	STOCK-IMAGE
1	189064	STOCK-IMAGE
1	189065	STOCK-IMAGE
1	189070	STOCK-IMAGE
1	189075	STOCK-IMAGE
1	189081	STOCK-IMAGE
1	189087	STOCK-IMAGE
1	189088	STOCK-IMAGE
1	189089	STOCK-IMAGE
1	189090	STOCK-IMAGE
1	189092	STOCK-IMAGE
1	189093	STOCK-IMAGE
1	189094	STOCK-IMAGE
1	189096	STOCK-IMAGE
1	189097	STOCK-IMAGE
1	189099	STOCK-IMAGE
1	189102	STOCK-IMAGE
1	189113	STOCK-IMAGE
1	189114	STOCK-IMAGE
1	189119	STOCK-IMAGE
1	189120	STOCK-IMAGE
1	189121	STOCK-IMAGE
1	189122	STOCK-IMAGE
1	189124	STOCK-IMAGE
1	189125	STOCK-IMAGE
1	189130	STOCK-IMAGE
1	189131	STOCK-IMAGE
1	189132	STOCK-IMAGE
1	189133	STOCK-IMAGE
1	189135	STOCK-IMAGE
1	189136	STOCK-IMAGE
1	189137	STOCK-IMAGE
1	189138	STOCK-IMAGE
1	189139	STOCK-IMAGE
1	189141	STOCK-IMAGE
1	189142	STOCK-IMAGE
1	189143	STOCK-IMAGE
1	189144	STOCK-IMAGE
1	189145	STOCK-IMAGE
1	189148	STOCK-IMAGE
1	189149	STOCK-IMAGE
1	189152	STOCK-IMAGE
1	189157	STOCK-IMAGE
1	189158	STOCK-IMAGE
1	189169	STOCK-IMAGE
1	189171	STOCK-IMAGE
1	189225	STOCK-IMAGE
1	189226	STOCK-IMAGE
1	189227	STOCK-IMAGE
1	189485	STOCK-IMAGE
1	189486	STOCK-IMAGE
1	189487	STOCK-IMAGE
1	189492	STOCK-IMAGE
1	189493	STOCK-IMAGE
1	189495	STOCK-IMAGE
1	189508	STOCK-IMAGE
1	189519	STOCK-IMAGE
1	189521	STOCK-IMAGE
1	189524	STOCK-IMAGE
1	189531	STOCK-IMAGE
1	189535	STOCK-IMAGE
1	189541	STOCK-IMAGE
1	189542	STOCK-IMAGE
1	189543	STOCK-IMAGE
1	189544	STOCK-IMAGE
1	189557	STOCK-IMAGE
1	189559	STOCK-IMAGE
1	189560	STOCK-IMAGE
1	189563	STOCK-IMAGE
1	189564	STOCK-IMAGE
1	189565	STOCK-IMAGE
1	189635	STOCK-IMAGE
1	189636	STOCK-IMAGE
1	189639	STOCK-IMAGE
1	189640	STOCK-IMAGE
1	189641	STOCK-IMAGE
1	212608	STOCK-IMAGE
1	212611	STOCK-IMAGE
1	212612	STOCK-IMAGE
1	204505	STOCK-IMAGE
1	212613	STOCK-IMAGE
1	212615	STOCK-IMAGE
1	212614	STOCK-IMAGE
1	225975	STOCK-IMAGE
1	225976	STOCK-IMAGE
1	204506	STOCK-IMAGE
1	212617	STOCK-IMAGE
1	212626	STOCK-IMAGE
1	211173	STOCK-IMAGE
1	211174	STOCK-IMAGE
1	218740	STOCK-IMAGE
1	218745	STOCK-IMAGE
1	218742	STOCK-IMAGE
1	218743	STOCK-IMAGE
1	226022	STOCK-IMAGE
1	212627	STOCK-IMAGE
1	226023	STOCK-IMAGE
1	212628	STOCK-IMAGE
1	212629	STOCK-IMAGE
1	226025	STOCK-IMAGE
1	226027	STOCK-IMAGE
1	226026	STOCK-IMAGE
1	226030	STOCK-IMAGE
1	226024	STOCK-IMAGE
1	226031	STOCK-IMAGE
1	204566	STOCK-IMAGE
1	218760	STOCK-IMAGE
1	218759	STOCK-IMAGE
1	204619	STOCK-IMAGE
1	212662	STOCK-IMAGE
1	226054	STOCK-IMAGE
1	226055	STOCK-IMAGE
1	226056	STOCK-IMAGE
1	226053	STOCK-IMAGE
1	226052	STOCK-IMAGE
1	226051	STOCK-IMAGE
1	226058	STOCK-IMAGE
1	226060	STOCK-IMAGE
1	226059	STOCK-IMAGE
